Gene_ID	Harringtonine_Control_rep1	Harringtonine_Control_rep2	Harringtonine_Control_rep3	Harringtonine_Treated_rep1	Harringtonine_Treated_rep2	Harringtonine_Treated_rep3
ENSG00000006047.13	1048	990	1079	1191	1305	1119
ENSG00000006059.4	1	0	0	0	0	0
ENSG00000006062.18	92	131	145	115	91	145
ENSG00000006071.16	23	13	38	19	29	16
ENSG00000006116.4	0	0	0	0	0	0
ENSG00000006118.15	3649	3241	4157	4141	3714	3861
ENSG00000006125.18	493	1053	585	526	464	536
ENSG00000006128.12	0	0	0	0	0	0
ENSG00000006194.11	592	522	616	603	608	628
ENSG00000006210.7	0	0	1	0	0	0
ENSG00000006282.21	1234	1019	1326	1443	1321	1345
ENSG00000006283.18	5	1	1	7	0	3
ENSG00000006327.14	3648	3167	3865	4242	3756	3829
ENSG00000006377.11	0	0	0	0	0	0
ENSG00000006432.16	1029	1316	1047	981	1048	1048
ENSG00000006451.8	1169	1085	1266	1066	1158	1095
ENSG00000006453.14	1051	1082	1005	1027	1125	1069
ENSG00000006459.11	61	114	71	37	43	77
ENSG00000006468.15	0	0	0	0	0	1
ENSG00000006530.18	1259	1270	1282	1095	1294	1299
ENSG00000006534.17	56	24	39	43	51	36
ENSG00000006555.11	20	32	17	22	21	23
ENSG00000006576.17	2720	3233	2679	2519	2898	2929
ENSG00000006606.9	0	7	4	1	3	0
ENSG00000006607.14	358	592	403	379	412	386
ENSG00000006611.17	0	0	1	3	1	0
ENSG00000006625.18	8691	6924	8608	7547	8628	8265
ENSG00000006634.8	7657	7309	7409	6787	7439	7287
ENSG00000006638.13	9	8	13	16	7	8
ENSG00000006652.15	1676	1586	1690	1551	1709	1775
ENSG00000006659.13	0	0	0	0	0	0
ENSG00000006695.12	928	786	851	782	853	785
ENSG00000006704.11	132	160	170	176	163	159
ENSG00000006712.15	345	308	402	358	430	376
ENSG00000006715.16	518	825	483	547	533	550
ENSG00000006740.18	54	70	85	68	53	70
ENSG00000006744.19	2470	2385	2432	2442	2568	2496
ENSG00000006747.15	899	1723	951	961	1013	1164
ENSG00000006756.16	297	520	356	324	286	361
ENSG00000006757.12	156	163	154	143	180	157
ENSG00000006788.14	0	0	0	0	0	0
ENSG00000006831.10	3401	5280	3634	3189	3245	3478
ENSG00000006837.12	31	43	50	45	33	47
ENSG00000007001.13	0	0	0	0	0	0
ENSG00000007038.11	0	0	0	2	0	1
ENSG00000007047.16	49	83	88	66	78	71
ENSG00000007062.12	0	3	3	0	4	1
ENSG00000007080.11	33	42	41	51	26	51
ENSG00000007129.18	2	3	0	2	2	2
ENSG00000007168.14	4815	5128	4961	4575	4910	4810
ENSG00000007171.19	2	0	0	3	1	0
ENSG00000007174.18	0	0	1	1	2	0
ENSG00000007202.15	8627	10235	8692	8357	8438	8467
ENSG00000007216.16	0	0	0	0	0	1
ENSG00000007237.19	0	0	0	0	0	0
ENSG00000007255.10	350	346	421	446	424	442
ENSG00000007264.15	755	591	750	739	643	800
ENSG00000007306.15	3	1	1	0	2	0
ENSG00000007312.14	0	0	0	0	0	0
ENSG00000007314.12	0	0	1	0	0	0
ENSG00000007341.19	246	275	227	221	237	233
ENSG00000007350.17	0	0	0	0	0	0
ENSG00000007372.25	0	1	1	1	0	1
ENSG00000007376.8	579	520	621	620	563	571
ENSG00000007384.15	616	504	600	677	653	629
ENSG00000007392.17	1113	1014	1155	1353	1209	1279
ENSG00000007402.12	3	8	5	8	5	6
ENSG00000007516.14	74	77	47	89	61	62
ENSG00000007520.4	467	434	547	567	441	495
ENSG00000007541.17	489	497	533	627	626	596
ENSG00000007545.16	163	228	223	191	170	196
ENSG00000007866.22	436	424	453	512	459	475
ENSG00000007908.16	3	2	1	1	0	1
ENSG00000007923.17	1334	1184	1200	1335	1434	1437
ENSG00000007933.13	0	0	0	0	0	0
ENSG00000007944.15	540	606	636	556	567	578
ENSG00000007952.18	0	0	0	0	0	0
ENSG00000007968.7	947	951	1007	1028	1031	939
ENSG00000008018.9	15055	13778	15156	14436	15614	15376
ENSG00000008056.14	0	1	2	1	2	1
ENSG00000008083.14	71	126	80	82	70	90
ENSG00000008086.13	596	683	569	522	497	619
ENSG00000008118.10	0	0	0	0	0	0
ENSG00000008128.23	32	58	44	63	42	41
ENSG00000008130.15	2043	1859	2043	2306	2075	2138
ENSG00000008196.13	0	7	0	0	0	5
ENSG00000008197.5	0	0	0	0	0	0
ENSG00000008226.20	3	2	5	6	6	2
ENSG00000008256.16	154	216	165	182	157	214
ENSG00000008277.15	228	412	217	202	236	267
ENSG00000008282.10	7854	8826	8039	7168	7563	7867
ENSG00000008283.16	5377	5193	5789	6065	5777	5701
ENSG00000008294.22	1861	3276	2077	2005	1958	2140
ENSG00000008300.17	374	455	359	427	376	391
ENSG00000008311.16	5	2	3	2	1	1
ENSG00000008323.16	435	411	430	525	466	445
ENSG00000008324.12	815	736	718	635	646	695
ENSG00000008382.16	255	218	299	304	320	300
ENSG00000008394.13	2179	2175	2205	2072	2135	2260
ENSG00000008405.12	1062	1105	1114	1073	1144	1137
ENSG00000008438.5	0	0	0	0	0	0
ENSG00000008441.19	59	70	43	57	45	54
ENSG00000008513.16	2537	2350	2487	2372	2516	2428
ENSG00000008516.18	30	45	53	30	42	38
ENSG00000008517.19	3	1	2	0	5	0
ENSG00000008710.20	737	700	881	969	832	920
ENSG00000008735.14	456	396	564	617	532	508
ENSG00000008838.21	696	599	609	681	670	665
ENSG00000008853.18	299	315	352	323	302	330
ENSG00000008869.12	655	799	760	559	639	656
ENSG00000008952.17	2209	3579	2375	2188	2296	2457
ENSG00000008988.11	31314	27726	30182	27877	29118	29369
ENSG00000009307.17	44869	53761	45513	41749	45762	47005
ENSG00000009335.18	6214	6507	6103	5979	6156	6311
ENSG00000009413.16	3500	4828	3775	3277	3574	3774
ENSG00000009694.14	0	0	0	0	0	0
ENSG00000009709.12	0	0	0	0	0	0
ENSG00000009724.18	0	1	1	3	3	0
ENSG00000009765.15	14	0	6	3	4	1
ENSG00000009780.16	684	695	634	677	743	728
ENSG00000009790.15	1	2	2	5	2	0
ENSG00000009830.13	955	885	871	1030	989	947
ENSG00000009844.16	4549	4646	4603	3909	4522	4576
ENSG00000009950.16	13	18	6	19	10	16
ENSG00000009954.11	3385	4110	3625	3282	3490	3468
ENSG00000010017.13	3800	4275	4214	3827	3901	3924
ENSG00000010030.14	7	2	0	2	4	4
ENSG00000010072.16	709	827	776	758	809	798
ENSG00000010165.20	971	1377	1000	972	936	890
ENSG00000010219.14	117	112	122	126	110	125
ENSG00000010244.19	9634	8677	9509	9129	9666	9742
ENSG00000010256.11	1600	1564	1584	1800	1721	1698
ENSG00000010270.14	1302	1243	1402	1261	1394	1274
ENSG00000010278.15	17575	16068	17478	17493	18540	18318
ENSG00000010282.15	0	0	0	0	0	0
ENSG00000010292.13	1264	2359	1446	1263	1426	1456
ENSG00000010295.20	0	0	0	9	2	4
ENSG00000010310.9	1	0	0	0	1	1
ENSG00000010318.22	29	41	40	24	26	16
ENSG00000010319.7	1	1	5	4	2	4
ENSG00000010322.16	518	369	434	499	486	537
ENSG00000010327.10	0	0	0	0	0	0
ENSG00000010361.14	344	302	408	358	304	324
ENSG00000010379.16	0	0	1	0	0	0
ENSG00000010404.18	732	851	746	660	700	741
ENSG00000010438.17	0	0	0	0	0	0
ENSG00000010539.12	1061	1089	985	1007	976	921
ENSG00000010610.10	0	0	0	0	0	0
ENSG00000010626.15	28	23	19	29	20	19
ENSG00000010671.18	0	2	0	1	1	0
ENSG00000010704.19	213	179	219	188	223	175
ENSG00000010803.17	254	292	322	283	275	276
ENSG00000010810.17	50	52	63	41	57	47
ENSG00000010818.11	460	938	536	498	506	566
ENSG00000010932.17	0	0	0	0	0	0
ENSG00000011007.13	319	863	396	410	348	454
ENSG00000011009.11	710	640	887	805	789	832
ENSG00000011021.23	72	77	43	58	77	82
ENSG00000011028.14	114	106	143	141	148	134
ENSG00000011052.21	4	9	1	4	6	4
ENSG00000011083.9	0	0	0	0	0	0
ENSG00000011105.14	326	286	351	421	375	383
ENSG00000011114.15	571	566	509	404	521	516
ENSG00000011132.12	94	84	106	123	119	103
ENSG00000011143.19	1330	1185	1450	1375	1349	1367
ENSG00000011198.10	1658	1571	1741	1536	1585	1551
ENSG00000011201.12	48	62	55	61	69	63
ENSG00000011243.19	573	443	581	668	598	651
ENSG00000011258.16	1003	1321	908	989	1021	1151
ENSG00000011260.14	2826	2720	2937	2871	3251	3138
ENSG00000011275.19	1758	2038	1807	1690	1753	1854
ENSG00000011295.16	3580	3411	3489	3182	3416	3415
ENSG00000011304.22	4072	4576	4636	5165	4803	4965
ENSG00000011332.22	113	93	92	110	123	145
ENSG00000011347.10	913	872	958	899	870	948
ENSG00000011376.12	296	438	360	295	319	312
ENSG00000011405.14	3441	5082	3719	3464	3600	3935
ENSG00000011422.12	133	92	105	78	107	82
ENSG00000011426.11	8839	9009	8881	7876	8488	8767
ENSG00000011451.21	338	413	409	378	303	325
ENSG00000011454.18	779	1209	849	795	880	853
ENSG00000011465.18	0	0	0	0	0	0
ENSG00000011478.13	290	260	276	306	276	277
ENSG00000011485.15	1374	1550	1551	1536	1547	1501
ENSG00000011523.15	879	882	887	836	943	941
ENSG00000011566.15	2537	3189	2889	2423	2703	2630
ENSG00000011590.14	0	0	0	2	0	0
ENSG00000011600.12	0	0	0	0	0	0
ENSG00000011638.11	1350	1430	1370	1293	1294	1325
ENSG00000011677.13	5	8	17	2	6	3
ENSG00000012048.24	1226	2077	1355	1363	1251	1345
ENSG00000012061.16	433	435	457	558	469	485
ENSG00000012124.17	12	12	4	5	10	8
ENSG00000012171.20	389	315	470	542	496	489
ENSG00000012174.12	1205	1907	1329	1237	1215	1300
ENSG00000012211.13	316	312	327	340	304	387
ENSG00000012223.13	0	2	0	0	1	0
ENSG00000012232.10	120	176	131	137	143	121
ENSG00000012504.15	0	0	0	0	3	0
ENSG00000012660.14	263	634	318	372	269	366
ENSG00000012779.12	0	0	0	0	1	0
ENSG00000012817.16	0	0	3	0	0	0
ENSG00000012822.16	147	139	165	165	215	190
ENSG00000012963.15	2487	2705	2648	2248	2643	2385
ENSG00000012983.12	2806	3305	2971	2812	3019	2806
ENSG00000013016.16	502	521	512	538	539	578
ENSG00000013275.8	7618	7089	8093	7703	7706	7932
ENSG00000013288.9	358	444	321	409	390	393
ENSG00000013293.6	0	0	0	0	0	0
ENSG00000013297.12	1	2	6	1	3	2
ENSG00000013306.16	6473	6283	6769	6975	6499	6499
ENSG00000013364.19	128	128	193	147	161	133
ENSG00000013374.17	1082	824	1039	856	964	1103
ENSG00000013375.17	1364	1704	1458	1426	1511	1598
ENSG00000013392.8	193	235	181	170	217	219
ENSG00000013441.17	1589	1365	1527	1715	2007	1797
ENSG00000013503.10	428	611	522	473	495	519
ENSG00000013523.11	1701	2041	1806	1866	1779	1836
ENSG00000013561.18	2475	2412	2456	2194	2459	2452
ENSG00000013563.14	1398	1185	1344	1377	1292	1331
ENSG00000013573.17	463	373	496	558	569	522
ENSG00000013583.10	490	875	541	443	476	498
ENSG00000013588.9	2662	3380	2797	2756	2605	2881
ENSG00000013619.15	20	30	33	20	24	34
ENSG00000013725.14	0	0	0	1	0	0
ENSG00000013810.21	455	792	527	581	537	627
ENSG00000014123.10	1063	1440	1072	979	1081	1085
ENSG00000014138.9	372	401	437	477	442	406
ENSG00000014164.7	150	164	175	201	164	186
ENSG00000014216.16	2177	2457	2556	2515	2490	2474
ENSG00000014257.17	36	56	55	38	56	46
ENSG00000014641.21	8863	8108	8660	8371	9292	8793
ENSG00000014824.14	4384	4349	4334	3878	4342	4255
ENSG00000014914.21	627	565	725	669	709	736
ENSG00000014919.13	2380	2146	2268	2324	2551	2347
ENSG00000015133.20	489	577	515	564	545	600
ENSG00000015153.15	1044	1176	1087	962	1067	1051
ENSG00000015171.21	9351	9376	9648	8555	9395	9521
ENSG00000015285.12	10	4	5	4	8	6
ENSG00000015413.10	4	1	5	0	1	4
ENSG00000015475.19	2390	2222	2430	2461	2400	2453
ENSG00000015479.20	833	909	869	848	975	937
ENSG00000015520.15	6	2	2	5	13	15
ENSG00000015532.10	597	535	529	605	570	636
ENSG00000015568.13	21	15	16	14	12	15
ENSG00000015592.17	0	0	0	0	0	0
ENSG00000015676.18	1939	1809	1975	1960	2037	1946
ENSG00000016082.15	0	0	2	0	5	0
ENSG00000016391.11	885	939	925	888	1026	952
ENSG00000016402.14	26	24	21	25	28	25
ENSG00000016490.16	0	0	0	0	0	0
ENSG00000016602.9	0	0	0	0	0	0
ENSG00000016864.19	395	579	507	397	465	503
ENSG00000017260.20	3697	4505	3793	3405	4040	4025
ENSG00000017427.17	1	0	0	0	0	0
ENSG00000017483.16	6	0	1	5	3	1
ENSG00000017797.13	436	583	495	391	464	423
ENSG00000018189.13	463	556	446	604	637	545
ENSG00000018236.15	0	0	1	0	0	0
ENSG00000018280.17	8	9	18	7	9	16
ENSG00000018408.15	408	614	462	378	370	440
ENSG00000018510.18	2	1	2	0	2	0
ENSG00000018607.9	0	0	0	2	0	0
ENSG00000018610.15	2140	1838	1898	1826	2083	2040
ENSG00000018625.15	0	0	0	0	0	0
ENSG00000018699.13	1219	1289	1197	1169	1310	1216
ENSG00000018869.18	0	0	0	0	0	0
ENSG00000019102.12	0	0	0	0	0	0
ENSG00000019144.20	61	84	78	76	65	81
ENSG00000019169.11	0	0	0	0	0	0
ENSG00000019186.10	47	37	60	64	44	69
ENSG00000019485.14	170	169	155	159	176	208
ENSG00000019505.8	8	7	9	6	13	4
ENSG00000019549.13	0	1	0	0	2	0
ENSG00000019582.17	0	0	2	1	0	0
ENSG00000019991.18	0	0	0	0	0	0
ENSG00000019995.6	1511	2131	1632	1427	1570	1610
ENSG00000020129.16	1067	1064	1104	1204	1079	1148
ENSG00000020181.18	20	17	23	32	27	23
ENSG00000020219.9	0	0	0	0	0	0
ENSG00000020256.20	342	533	398	367	416	409
ENSG00000020426.11	4061	3694	4162	3548	4044	3986
ENSG00000020577.14	665	890	751	817	821	815
ENSG00000020633.19	1	1	1	1	2	0
ENSG00000020922.13	1119	1147	1215	1157	1311	1351
ENSG00000021300.14	37	53	45	49	29	35
ENSG00000021355.13	1170	1219	1271	1145	1237	1268
ENSG00000021461.18	0	0	0	0	0	0
ENSG00000021488.13	0	0	0	0	0	1
ENSG00000021574.14	2182	2393	2418	2144	2331	2319
ENSG00000021645.20	0	0	0	1	0	0
ENSG00000021762.20	117	115	122	142	128	133
ENSG00000021776.11	2021	2666	2225	2097	2240	2350
ENSG00000021826.18	14	24	25	19	22	14
ENSG00000021852.14	0	0	0	0	0	0
ENSG00000022267.19	241	239	225	212	211	202
ENSG00000022277.13	1736	1761	1864	1684	1840	1907
ENSG00000022355.18	0	0	0	0	0	0
ENSG00000022556.16	0	0	0	0	0	0
ENSG00000022567.10	463	351	420	380	384	428
ENSG00000022840.17	6821	6301	6855	6213	6569	6184
ENSG00000022976.16	312	351	406	368	382	364
ENSG00000023041.12	2762	2732	2932	2912	3153	3030
ENSG00000023171.20	5	1	2	1	1	3
ENSG00000023191.17	2961	2896	3359	3340	2995	3178
ENSG00000023228.14	1968	2170	2108	1796	2003	1979
ENSG00000023287.13	3681	3496	3499	3204	3624	3572
ENSG00000023318.9	1236	1633	1350	1161	1331	1414
ENSG00000023330.15	487	481	554	533	489	433
ENSG00000023445.16	45	43	52	37	37	27
ENSG00000023516.9	3998	5935	4428	3938	4195	4505
ENSG00000023572.10	4207	3869	4276	3824	4171	4320
ENSG00000023608.5	185	277	250	214	228	239
ENSG00000023697.13	1345	1338	1234	1242	1376	1300
ENSG00000023734.11	2133	3453	2457	2096	2176	2502
ENSG00000023839.12	17	28	16	23	20	30
ENSG00000023892.12	342	289	389	360	314	361
ENSG00000023902.14	253	215	232	214	230	259
ENSG00000023909.10	1397	1480	1477	1378	1316	1324
ENSG00000024048.11	580	1037	588	559	573	641
ENSG00000024422.12	55	85	66	60	49	59
ENSG00000024526.17	1708	2095	1819	1581	1757	1829
ENSG00000024862.18	100	113	166	153	154	141
ENSG00000025039.15	447	437	405	398	366	414
ENSG00000025156.13	940	803	920	871	1006	984
ENSG00000025293.17	1453	1430	1328	1264	1455	1432
ENSG00000025423.11	46	32	34	44	57	57
ENSG00000025434.19	161	134	132	175	136	172
ENSG00000025708.14	110	108	136	130	123	98
ENSG00000025770.19	1525	1423	1755	1781	1760	1761
ENSG00000025772.8	376	549	469	445	452	482
ENSG00000025796.14	459	899	487	483	435	519
ENSG00000025800.14	2421	3117	2572	2478	2593	2759
ENSG00000026025.16	22	15	33	20	25	17
ENSG00000026036.23	68	79	88	133	117	96
ENSG00000026103.25	460	363	408	370	432	393
ENSG00000026297.17	888	874	994	972	1079	990
ENSG00000026508.21	1813	2194	1708	1750	1849	1906
ENSG00000026559.14	167	123	143	179	167	190
ENSG00000026652.15	5	0	1	3	0	0
ENSG00000026751.17	0	0	0	0	0	0
ENSG00000026950.17	12	9	14	8	9	7
ENSG00000027001.10	79	121	105	111	111	80
ENSG00000027075.17	1924	2186	2144	1869	1933	2024
ENSG00000027644.5	0	0	0	0	0	0
ENSG00000027697.16	1404	1325	1425	1380	1542	1560
ENSG00000027847.14	896	843	1020	1036	944	1017
ENSG00000027869.12	3	6	1	2	4	9
ENSG00000028116.18	1260	1477	1303	1184	1223	1381
ENSG00000028137.19	0	0	1	0	0	0
ENSG00000028203.19	5256	4717	5221	4483	5149	4974
ENSG00000028277.22	3	2	0	0	0	0
ENSG00000028310.18	182	176	181	175	209	173
ENSG00000028528.15	2853	2973	2843	2821	2964	2950
ENSG00000028839.10	1377	1175	1405	1105	1336	1246
ENSG00000029153.15	798	777	816	780	808	874
ENSG00000029363.17	7255	8070	7853	6998	7463	7636
ENSG00000029364.12	6412	9173	6986	6082	6739	6586
ENSG00000029534.22	5	6	8	10	9	5
ENSG00000029559.7	1	2	4	5	0	4
ENSG00000029639.11	268	313	249	301	306	302
ENSG00000029725.17	4227	4333	4415	3936	4318	4506
ENSG00000029993.15	1396	2019	1567	1501	1383	1702
ENSG00000030066.14	2783	4875	3193	2884	2905	3140
ENSG00000030110.14	1349	1094	1319	1319	1280	1291
ENSG00000030304.15	0	0	0	0	0	0
ENSG00000030419.17	1080	1587	1236	1047	1123	1227
ENSG00000030582.18	1325	1284	1625	1628	1493	1505
ENSG00000031003.11	1733	1976	1792	1721	2058	1784
ENSG00000031081.11	2	2	4	1	2	0
ENSG00000031691.7	1059	1082	1133	1056	1099	1043
ENSG00000031698.13	4882	4719	4970	4691	5000	4928
ENSG00000031823.14	165	221	153	149	168	148
ENSG00000032219.19	731	996	827	667	773	817
ENSG00000032389.13	1359	1338	1384	1344	1457	1480
ENSG00000032444.17	537	456	572	587	580	585
ENSG00000032742.18	373	441	410	440	447	453
ENSG00000033011.14	1749	1649	1778	1863	1849	1800
ENSG00000033030.15	529	630	434	450	445	518
ENSG00000033050.9	411	634	456	437	416	446
ENSG00000033100.17	489	572	508	606	592	587
ENSG00000033122.21	1	0	0	1	0	0
ENSG00000033170.17	8120	9282	8276	7482	7752	7780
ENSG00000033178.13	6760	6687	6697	6060	6721	6678
ENSG00000033327.13	425	529	538	471	425	456
ENSG00000033627.18	594	625	648	633	698	713
ENSG00000033800.14	1046	1418	1017	962	1101	1124
ENSG00000033867.17	2845	3083	2846	2843	2902	2899
ENSG00000034053.15	37	12	21	15	29	33
ENSG00000034152.19	172	299	234	212	160	176
ENSG00000034239.11	0	0	0	0	0	0
ENSG00000034510.6	19338	16495	19138	18623	18599	18870
ENSG00000034533.12	837	802	945	767	886	886
ENSG00000034677.13	2917	2923	2864	2678	2865	2929
ENSG00000034693.15	519	806	655	434	603	710
ENSG00000034713.8	2110	2226	2148	1904	2127	2025
ENSG00000034971.17	0	0	0	0	0	0
ENSG00000035115.22	1660	2037	1568	1611	1704	1743
ENSG00000035141.8	3336	3499	3303	3090	3473	3202
ENSG00000035403.18	1878	1949	1858	1733	1914	1969
ENSG00000035499.13	1579	1866	1640	1491	1695	1592
ENSG00000035664.11	386	390	402	355	435	399
ENSG00000035681.9	2540	2659	2746	2326	2516	2664
ENSG00000035687.10	1508	1467	1485	1413	1505	1620
ENSG00000035720.8	0	0	0	0	0	0
ENSG00000035862.12	129	147	131	143	172	128
ENSG00000035928.17	2026	2897	2154	2034	1972	2159
ENSG00000036054.13	3057	2764	3136	2739	3107	3156
ENSG00000036257.14	2835	3257	2815	2442	2930	2893
ENSG00000036448.10	0	0	0	0	0	0
ENSG00000036473.8	0	0	0	0	0	0
ENSG00000036530.9	15	16	7	8	14	7
ENSG00000036549.13	4468	4692	4217	3715	4299	4196
ENSG00000036565.15	0	0	0	0	0	0
ENSG00000036672.16	12	46	47	23	9	35
ENSG00000036828.17	0	0	0	0	0	0
ENSG00000037042.9	59	64	58	102	95	104
ENSG00000037241.7	2663	2481	2786	2558	2705	2651
ENSG00000037280.16	49	26	26	50	41	38
ENSG00000037474.15	407	1016	530	473	402	553
ENSG00000037637.11	882	920	794	767	854	744
ENSG00000037749.13	4758	5162	4918	4185	4965	4814
ENSG00000037757.14	901	811	858	1180	1041	1183
ENSG00000037897.17	583	745	583	574	532	592
ENSG00000037965.6	13	16	19	13	16	13
ENSG00000038002.9	852	776	894	716	843	840
ENSG00000038210.14	3570	3468	3605	3195	3687	3489
ENSG00000038219.13	413	816	447	419	435	440
ENSG00000038274.18	742	1660	837	748	853	843
ENSG00000038295.8	0	0	0	0	0	0
ENSG00000038358.15	1275	1253	1372	1226	1232	1299
