transcript	Control_rep1	Control_rep2	Control_rep3	Arsenite_rep1	Arsenite_rep2	Arsenite_rep3
ENST00000203556	57	54	38	33	28	25
ENST00000203629						1
ENST00000203630	142	84	84	27	22	38
ENST00000203664	11	12	5	2	1	
ENST00000204005	56	33	42	21	16	20
ENST00000204517	103	95	68	38	18	28
ENST00000204549	158	136	91	45	64	29
ENST00000204566	91	63	61	5	3	12
ENST00000204604	1	3				1
ENST00000204637	1	2	2	3		
ENST00000204679	53	46	37	14	17	17
ENST00000204726	303	282	328	192	175	146
ENST00000204961	5	5	5	4		2
ENST00000205061	1810	1385	962	145	124	126
ENST00000205135	21	34	22	20	12	22
ENST00000205143				1		1
ENST00000205194	26	21	8	3	1	1
ENST00000205214	39	29	32	11	8	14
ENST00000205402	2954	2033	1468	293	225	293
ENST00000205557			1			
ENST00000205636	15	15	14			
ENST00000206020	313	210	135	26	27	22
ENST00000206249	123	155	133	101	68	82
ENST00000206262	5	7	1		3	1
ENST00000206380	37	24	20	4		3
ENST00000206423	3	4	2	1	1	3
ENST00000206451	2720	2515	1224	375	483	263
ENST00000206474	122	75	76	22	7	19
ENST00000206542	63	63	64	16	16	10
ENST00000206595	201	207	154	93	65	51
ENST00000206765	13	6	17		2	2
ENST00000207457				1		
ENST00000207549	66	73	57	22	19	17
ENST00000207636	363	252	164	39	36	50
ENST00000207870	26	17	22	11	5	4
ENST00000209718						1
ENST00000209728	215	172	102	24	17	25
ENST00000209873	275	210	139	37	29	40
ENST00000209875	1117	934	445	110	96	86
ENST00000209884	73	45	34	18	13	12
ENST00000210060	226	140	124	42	44	24
ENST00000210187	13	14	23	7	9	3
ENST00000210227	19	11	7	2	2	4
ENST00000210313	84	58	53	9	5	11
ENST00000210444	311	213	198	17	13	14
ENST00000210633	8	5	6	1	1	2
ENST00000211122	1	1		2	1	
ENST00000211287	111	96	64	14	21	11
ENST00000211314	141	128	72	4	3	6
ENST00000211379	446	363	244	140	75	129
ENST00000211936	3	9	9	3	4	4
ENST00000211998	357	312	208	71	39	63
ENST00000212015	90	64	50	24	15	18
ENST00000212355	1	2	1		1	2
ENST00000214869	119	85	56	9	5	9
ENST00000215057	4	5	4	8	2	5
ENST00000215061		5	1	1	3	1
ENST00000215071	455	301	214	41	27	43
ENST00000215095		1	2	1	1	1
ENST00000215115	91	95	41	30	17	37
ENST00000215375	66	37	25	6	1	11
ENST00000215555	2	1	4			2
ENST00000215565	613	443	272	36	20	38
ENST00000215567	365	243	172	27	14	28
ENST00000215570	54	37	22	4		3
ENST00000215574	120	82	74	20	15	19
ENST00000215582	195	144	110	37	18	36
ENST00000215587	323	226	145	34	10	27
ENST00000215631	110	63	44	23	21	12
ENST00000215659	13	18	7	5	1	3
ENST00000215730	93	86	53	7	7	6
ENST00000215742	5	3	3	2	2	2
ENST00000215743	3	2	1			
ENST00000215754	167	89	58	13	3	19
ENST00000215770	3	1	5	2		
ENST00000215790	46	20	18	6	2	5
ENST00000215793	895	727	421	161	143	115
ENST00000215794	17	9	10	6	3	7
ENST00000215798	2	3	3	2	1	1
ENST00000215829	761	522	386	125	52	135
ENST00000215832	51	44	37	6	6	1
ENST00000215855			1			
ENST00000215862	244	189	225	159	111	122
ENST00000215882	388	272	211	41	26	32
ENST00000215885	16	15	10	5	2	
ENST00000215904	16	6	3	2	2	1
ENST00000215906			1			
ENST00000215909	138	69	51	10	5	11
ENST00000215912	11	2	7		2	1
ENST00000215917	116	110	46	17	9	25
ENST00000215919	38	31	20	16	8	14
ENST00000215941	30	28	21	4	4	2
ENST00000215956	39	27	10	1	1	1
ENST00000215957	35	19	19	9	13	15
ENST00000215980	11	14	6			5
ENST00000216014	38	45	20	3		
ENST00000216024	17	22	4	8	12	5
ENST00000216027	37	25	16	4	2	1
ENST00000216029	11	9	8	7	2	8
ENST00000216034	211	157	64	25	9	16
ENST00000216037	6586	4669	2821	642	391	621
ENST00000216038	722	575	345	99	60	79
ENST00000216039	11	14	15	11	7	15
ENST00000216044	36	30	37	18	15	8
ENST00000216061	25	17	41	18	27	17
ENST00000216068	30	28	11	4	3	4
ENST00000216080	38	13	23	2	3	8
ENST00000216083	113	81	57	20	15	26
ENST00000216085	22	16	19	4	6	10
ENST00000216099	8	3	6			
ENST00000216101		1				
ENST00000216106	75	88	70	43	54	30
ENST00000216115	10	12	7	1	1	1
ENST00000216117	11	3	1	1		
ENST00000216121	357	265	192	33	15	31
ENST00000216122	477	381	265	60	40	62
ENST00000216124			2			
ENST00000216127		1				
ENST00000216129	214	167	139	55	26	52
ENST00000216133	18	16	14	6	3	3
ENST00000216146	7943	5795	3773	561	429	472
ENST00000216155	8	7	5	2		
ENST00000216160	42	37	22	8	2	5
ENST00000216180	2	3			1	1
ENST00000216181	4079	2691	2095	610	438	561
ENST00000216185	256	212	125	13	13	18
ENST00000216187	14	13	15	1	1	2
ENST00000216190	2179	1473	986	164	121	107
ENST00000216194	375	292	187	44	29	35
ENST00000216211	4		3			3
ENST00000216214	41	28	25	12	4	15
ENST00000216218	1918	1413	748	125	129	102
ENST00000216225	171	120	77	13	8	14
ENST00000216237	115	117	84	41	22	21
ENST00000216241	1					
ENST00000216252	334	203	132	22	17	22
ENST00000216254	231	145	85	20	11	32
ENST00000216259	102	79	41	14	8	18
ENST00000216264	19	19	8	11	5	6
ENST00000216267	97	82	67	43	31	33
ENST00000216268	15	17	27	18	8	14
ENST00000216271	17	21	34	9	12	11
ENST00000216277	410	437	384	273	259	246
ENST00000216281	29068	22332	15942	3200	3054	2471
ENST00000216288	76	106	132	84	55	65
ENST00000216294	92	61	40	28	17	12
ENST00000216297	4169	3422	2333	533	461	401
ENST00000216327	34	9	12			1
ENST00000216330	416	364	231	36	40	32
ENST00000216350	335	237	174	42	13	24
ENST00000216361	4	4		1		
ENST00000216366	4	5	3		1	1
ENST00000216367	105	87	64	27	19	22
ENST00000216373	64	52	60	35	26	23
ENST00000216378		1				1
ENST00000216392	1924	1264	1041	186	171	169
ENST00000216410	910	793	488	165	121	137
ENST00000216416	442	287	187	20	11	18
ENST00000216420	77	78	43	13	5	15
ENST00000216442	199	155	98	34	16	37
ENST00000216446	16	16	9	4	2	2
ENST00000216452	92	69	35	5		1
ENST00000216455	1221	922	643	71	62	36
ENST00000216456				1	1	
ENST00000216465	85	81	55	1	2	11
ENST00000216468	153	123	86	58	43	38
ENST00000216471	23	27	25	6	4	5
ENST00000216479	3275	2471	1541	364	326	334
ENST00000216484	816	536	420	55	29	39
ENST00000216487	6	12	15	16	9	17
ENST00000216489	22	16	17	4	1	
ENST00000216492		5				
ENST00000216500	1409	1117	567	76	60	82
ENST00000216513	63	48	37	18	14	16
ENST00000216517	24	34	51	33	36	30
ENST00000216554	344	476	492	518	502	325
ENST00000216602	402	340	159	26	32	35
ENST00000216629		2	1			
ENST00000216639	416	318	211	47	40	22
ENST00000216658	1	1	3			
ENST00000216714	588	463	284	72	48	75
ENST00000216727	619	604	352	124	78	116
ENST00000216756	297	205	118	41	24	22
ENST00000216774	511	402	275	72	41	56
ENST00000216780	696	501	349	33	24	50
ENST00000216797	651	509	387	85	79	60
ENST00000216799	89	55	52	17	8	6
ENST00000216802	1145	1017	589	129	93	93
ENST00000216807	105	99	72	14	10	10
ENST00000216832	1960	1912	1450	464	542	308
ENST00000216840	53	44	31	14	9	2
ENST00000216862	7	1	2			1
ENST00000216877	37	49	44	33	34	31
ENST00000216879	314	181	134	53	31	33
ENST00000216923	35	26	12	10	8	3
ENST00000216962	307	236	218	42	34	28
ENST00000216968	3	2	1			
ENST00000217026	469	398	331	213	138	202
ENST00000217073	42	53	56	46	36	26
ENST00000217074	30	49	52	35	36	24
ENST00000217075	4	2	3	1	3	
ENST00000217086	34	34	46	26	11	22
ENST00000217109	65	61	44	8	7	4
ENST00000217121	774	460	307	67	49	67
ENST00000217131	14	16	9	2	2	2
ENST00000217133					1	
ENST00000217159	19	16	14	4	3	8
ENST00000217162	67	70	36	13	7	21
ENST00000217169		1	1	1	1	
ENST00000217173	1	4	3			1
ENST00000217182	8222	5165	3853	1032	823	1305
ENST00000217185	24	12	7	7	2	2
ENST00000217188				1		
ENST00000217195	109	87	57	6	4	8
ENST00000217233	122	84	59	48	33	54
ENST00000217244	385	267	188	22	15	26
ENST00000217246	40	29	14	22	22	8
ENST00000217254	4	2	2	1		
ENST00000217289	8	4	7	1	1	1
ENST00000217315	222	170	125	35	31	35
ENST00000217381	20	14	8	3	3	2
ENST00000217398		4	3	1		
ENST00000217402	775	617	387	62	46	57
ENST00000217425		1				1
ENST00000217426	508	381	250	44	14	40
ENST00000217446	50	24	33	3	2	2
ENST00000217455	6	9	7		3	1
ENST00000217456	163	112	63	5	4	14
ENST00000217515	166	132	93	18	18	17
ENST00000217652	2756	2100	1203	278	148	304
ENST00000217740	1			1	1	
ENST00000217800	27	22	17	16	5	10
ENST00000217893	18	12	12	2	1	1
ENST00000217901	155	98	88	10	13	15
ENST00000217909	18	18	19	4	3	6
ENST00000217958	508	357	198	55	31	52
ENST00000217961	2	6	5	2		1
ENST00000217971	303	211	138	41	20	35
ENST00000218004	2	4	6		2	1
ENST00000218056	18	21	24	8	2	11
ENST00000218089	534	389	342	150	133	126
ENST00000218104	18	16	16	10	12	18
ENST00000218147	44	44	28	22	24	16
ENST00000218176		1	1	1	1	
ENST00000218197	7	1	3			1
ENST00000218200	374	272	211	56	43	56
ENST00000218224	282	201	119	49	25	30
ENST00000218230	41	28	16	3		4
ENST00000218340	34	21	14	2	7	3
ENST00000218348	556	443	283	98	95	79
ENST00000218364	1013	869	540	110	120	93
ENST00000218388	18	16	13	5	3	2
ENST00000218432	99	58	38	15	13	17
ENST00000218439	340	282	180	35	10	30
ENST00000218516	328	263	218	29	22	18
ENST00000218652	44	13	5	3	3	2
ENST00000218721				1		
ENST00000218789	65	34	31	17	13	8
ENST00000218867	83	57	66	70	47	65
ENST00000218981	3	5	5	6	2	1
ENST00000219066	68	60	34	10	1	7
ENST00000219069	49	29	55	28	17	26
ENST00000219091	25	23	20	10	8	7
ENST00000219097	99	74	42	16	12	17
ENST00000219139	9	4	1			2
ENST00000219150	52	29	22		1	6
ENST00000219168	4	1				
ENST00000219169	86	50	33	3	2	4
ENST00000219204	66	53	26	9	11	8
ENST00000219207	1	1				
ENST00000219240	153	131	98	26	9	21
ENST00000219251	53	48	30	8	3	9
ENST00000219252	81	62	48	5	2	
ENST00000219255	5	5	6	2	1	4
ENST00000219271	16	13	11	7	4	8
ENST00000219281	5	7	4	3	1	7
ENST00000219299	11	13	11	2	1	2
ENST00000219302	82	75	82	17	13	8
ENST00000219313	2297	1921	1251	338	387	237
ENST00000219315	53	43	30	15	11	5
ENST00000219320	4	3	2			2
ENST00000219322	2					
ENST00000219343	11	14	9	4	5	2
ENST00000219345	18	9	9		1	1
ENST00000219368	23	9	19	5	2	3
ENST00000219400	316	229	152	21	19	32
ENST00000219406	2	2	2	4	1	2
ENST00000219409	28	28	19	11	9	8
ENST00000219431	47	37	17	3	1	6
ENST00000219439	80	73	62	27	21	25
ENST00000219473	497	445	254	120	81	99
ENST00000219476	157	135	147	72	49	75
ENST00000219478	20	15	11	14	11	11
ENST00000219479	106	70	61	20	21	26
ENST00000219481	14	9	8	2	3	5
ENST00000219535	27	24	9	4	1	3
ENST00000219542	14	11	12	9	4	13
ENST00000219548	768	566	390	85	55	73
ENST00000219551	1			1		2
ENST00000219596						1
ENST00000219599	2					
ENST00000219611	93	74	87	65	42	48
ENST00000219689	31	44	39	31	26	39
ENST00000219700	341	228	175	46	33	32
ENST00000219782	123	114	127	68	37	77
ENST00000219789		3		1		3
ENST00000219794	34	13	10	9	2	11
ENST00000219797	55	57	34	8	9	4
ENST00000219821	2	1	1	1	1	1
ENST00000219837	321	227	183	66	53	39
ENST00000219905	305	255	250	160	109	152
ENST00000220003	59	45	50	34	26	57
ENST00000220058	178	106	98	24	18	34
ENST00000220166	91	65	47	6		6
ENST00000220244	76	18	18	5	7	5
ENST00000220325	168	98	98	10	14	16
ENST00000220429	33	29	19	3	3	2
ENST00000220496	148	114	64	18	16	29
ENST00000220507	6	9	5	3	2	2
ENST00000220509	127	69	52	29	17	26
ENST00000220514	25	19	13		1	2
ENST00000220531	55	45	25	13	11	9
ENST00000220562	12	6	8	8	4	5
ENST00000220584	1490	974	643	114	78	94
ENST00000220592	199	165	143	42	37	47
ENST00000220597				2		
ENST00000220616				1		
ENST00000220659	31	27	23	6		3
ENST00000220669	49	27	31	5	6	11
ENST00000220751	26	16	13	6	4	8
ENST00000220763	3	6	1	1		1
ENST00000220764	305	227	135	23	13	16
ENST00000220822	113	75	56	13	6	13
ENST00000220847	91	84	109	66	51	43
ENST00000220849	1189	761	620	66	21	24
ENST00000220853	284	191	136	20	26	16
ENST00000220888	263	272	223	150	117	121
ENST00000220913	138	158	88	23	37	18
ENST00000220931		1	1			
ENST00000220959	1269	1175	1137	840	573	664
ENST00000220966	7	7	3	1		1
ENST00000221086	20	23	24	4	9	3
ENST00000221114	72	45	33	3	4	2
ENST00000221130	942	622	417	66	44	75
ENST00000221132	75	57	26	11	21	14
ENST00000221138	24	15	15	10	7	7
ENST00000221200	144	103	76	19	19	18
ENST00000221222	6	6	3	3	1	4
ENST00000221232	68	61	74	47	48	46
ENST00000221233	135	93	53	4		5
ENST00000221249	47	28	36	15	8	14
ENST00000221264	17	15	6	4	1	1
ENST00000221265	358	271	173	100	96	87
ENST00000221283	273	216	154	51	52	49
ENST00000221307	8	2	1			1
ENST00000221315	3	6	8	2	3	2
ENST00000221327	9	18	13	5	5	2
ENST00000221355	37	43	18	1	4	9
ENST00000221363	130	98	72	23	15	13
ENST00000221403	7	1	1		1	
ENST00000221413	347	243	175	61	38	59
ENST00000221418	775	536	372	48	26	39
ENST00000221419	1618	1222	1030	258	199	222
ENST00000221431	54	45	33	16	5	13
ENST00000221448	633	509	471	215	200	179
ENST00000221452	9	13	9	4	3	2
ENST00000221455	135	106	96	48	24	23
ENST00000221459	16	10	6	2	1	2
ENST00000221462	44	36	44	37	16	22
ENST00000221466	2	7	7	1	1	1
ENST00000221480	4	2	1			1
ENST00000221485	5	3	1	1		
ENST00000221486	942	752	426	48	40	87
ENST00000221494	125	104	66	37	35	31
ENST00000221496	3	4	3		3	4
ENST00000221498	3					
ENST00000221504	133	95	118	24	32	19
ENST00000221515						1
ENST00000221538					3	1
ENST00000221543	31	29	24	18	9	14
ENST00000221554	25	22	27	14	17	17
ENST00000221561	117	83	53	25	17	37
ENST00000221566	45	47	27	2		2
ENST00000221573	9	5	3	2		2
ENST00000221576	392	291	197	28	26	25
ENST00000221665	2	1	2	1		3
ENST00000221671	1	2	4	5	8	6
ENST00000221700	4	2	1			
ENST00000221730						1
ENST00000221735	8	5	4	1	3	1
ENST00000221770	9	11	8			
ENST00000221784	114	91	48	5	4	4
ENST00000221801	2173	1592	911	212	166	192
ENST00000221818	12	4	5	1	1	2
ENST00000221855	237	180	113	23	10	14
ENST00000221856	28	24	17	5	11	6
ENST00000221859	151	85	62	10	8	12
ENST00000221891	110	56	54	12	13	16
ENST00000221899	95	51	40	28	14	21
ENST00000221922	156	113	87	62	41	53
ENST00000221930	87	44	32	11	6	4
ENST00000221943	91	57	37	2	3	3
ENST00000221957	160	83	76	8	8	8
ENST00000221975	1667	1296	727	172	81	129
ENST00000221980	1	3	1		3	2
ENST00000221992	48	20	10	2	1	
ENST00000222005	1645	1300	797	196	166	189
ENST00000222008	85	51	41	4		2
ENST00000222032	5	4	2			
ENST00000222120	201	123	101	13	4	9
ENST00000222122	5	10	6	7	3	4
ENST00000222139	6	2	2		2	
ENST00000222145	1	1	6	1		1
ENST00000222190	145	101	71	14	11	5
ENST00000222214	92	71	49	9	10	13
ENST00000222219	115	85	62	11	3	7
ENST00000222224	84	65	39	17	6	12
ENST00000222247	4003	2692	1696	194	145	254
ENST00000222248	3			1	1	
ENST00000222249	1					
ENST00000222250	4	2	2			1
ENST00000222254	58	66	54	72	37	45
ENST00000222256	25	16	17	4	5	7
ENST00000222266	98	59	42	9	4	1
ENST00000222275	2					1
ENST00000222284	180	124	88	4	1	7
ENST00000222305	92	77	86	50	27	56
ENST00000222307	5	10	11	3		2
ENST00000222308	459	330	153	127	35	126
ENST00000222329	133	102	70	43	16	53
ENST00000222330	31	18	14	5	2	4
ENST00000222339	25	25	17	2	3	10
ENST00000222345	60	96	98	87	45	57
ENST00000222374	88	61	44	3	8	6
ENST00000222388	625	472	355	93	76	98
ENST00000222399	406	287	257	44	34	40
ENST00000222402	4	3	1			
ENST00000222482	1					
ENST00000222511	132	86	57	17	11	16
ENST00000222543	15	16	11			
ENST00000222547	18	12	10	2	3	
ENST00000222553	897	618	444	115	53	89
ENST00000222567	82	76	53	18	9	13
ENST00000222572	49	38	36	2	3	1
ENST00000222574	152	121	74	18	15	18
ENST00000222584	20	11	6	2	2	5
ENST00000222597	67	59	29	18	11	5
