transcript	Control_rep1	Control_rep2	Control_rep3	LeuStarve_rep1	LeuStarve_rep2	LeuStarve_rep3
ENST00000066544	375	229	364	289	329	244
ENST00000070846	64	47	73	66	77	51
ENST00000072516	15	4	21	19	23	19
ENST00000072644	52	50	75	75	77	61
ENST00000072869	76	48	75	48	68	58
ENST00000074304	105	84	131	136	178	119
ENST00000075120	12	8	15	14	35	22
ENST00000075322	19	13	18	31	30	9
ENST00000075430	96	73	128	69	99	68
ENST00000075503	2	1		5	2	4
ENST00000078429	198	173	239	161	249	160
ENST00000078527	3	2	4	12	6	7
ENST00000080059	7	7	8	8	17	11
ENST00000081029	654	508	826	754	882	593
ENST00000083182	132	95	147	116	133	87
ENST00000084798	7	4	2	6	6	12
ENST00000085068	35	40	42	67	75	53
ENST00000085079	214	139	243	277	352	221
ENST00000155093	59	41	57	81	92	61
ENST00000155674	201	160	230	277	321	262
ENST00000155840		1	1	3	1	2
ENST00000155926	11	6	11	7	10	11
ENST00000156084	191	184	297	200	330	205
ENST00000156109	211	169	278	268	326	243
ENST00000156471	449	349	577	430	545	329
ENST00000156499					1	2
ENST00000156626				1		
ENST00000156825	536	487	708	636	830	610
ENST00000157600	12	6	12	14	17	14
ENST00000157812	1227	938	1423	1489	1741	1286
ENST00000158166	33	21	29	20	30	20
ENST00000158762			2	4	1	1
ENST00000158771	40	48	46	46	43	40
ENST00000159087	112	120	130	195	285	128
ENST00000159111	64	60	99	88	91	59
ENST00000159647	2	3	2	1	1	4
ENST00000160262	3	3	4	3	2	1
ENST00000160298	16	8	12	2	12	10
ENST00000160373	19	31	37	27	35	25
ENST00000160382			1	1	1	1
ENST00000160740	59	56	70	49	76	58
ENST00000160827	569	503	748	714	991	683
ENST00000161863	279	201	386	233	342	239
ENST00000162044	207	166	193	235	328	210
ENST00000162330	42	44	67	53	49	31
ENST00000162391	24	16	21	21	24	18
ENST00000162749	23	25	31	52	66	40
ENST00000163416	136	98	163	146	199	134
ENST00000163678	11	11	13	24	32	17
ENST00000164024	22	26	24	32	43	35
ENST00000164133	11	12	23	22	15	14
ENST00000164139	3	4	8	8	14	8
ENST00000164227				1		
ENST00000164247	9	7	13	3	7	8
ENST00000164305	21	14	24	12	32	15
ENST00000164640	5	11	9	12	24	17
ENST00000165698	4	2	6	5	11	12
ENST00000166139	6	3	8	11	12	6
ENST00000166244	7	8	9	9	11	11
ENST00000166345	530	394	632	450	550	358
ENST00000166534	214	151	216	218	318	199
ENST00000167106	20	26	22	44	57	31
ENST00000167218	549	396	555	633	692	548
ENST00000167462	47	43	62	64	85	65
ENST00000167586	1			1		
ENST00000168216	516	480	651	671	724	563
ENST00000168977	1		1	3	1	1
ENST00000169298	9	3	11	14	28	18
ENST00000169551	274	191	296	232	290	223
ENST00000170168	39	37	50	38	47	42
ENST00000170447	198	182	281	340	433	267
ENST00000170564	88	79	108	84	115	81
ENST00000170630	9	6	13	6	18	9
ENST00000171111	132	89	163	123	142	120
ENST00000171887		1	3	1	1	
ENST00000172229	1		1		3	3
ENST00000173229	20	26	31	27	49	31
ENST00000173527	330	225	339	357	486	326
ENST00000173898	132	105	136	151	229	105
ENST00000174618	50	55	60	120	194	105
ENST00000174653	180	143	186	203	238	204
ENST00000175091	100	72	117	141	169	118
ENST00000175506	1564	1144	1784	3180	3512	2294
ENST00000175756	39	39	49	59	69	59
ENST00000176183					1	
ENST00000176643	358	253	375	413	430	288
ENST00000176763	246	189	294	241	285	242
ENST00000177648	31	14	22	31	30	39
ENST00000177694		1	2	2		
ENST00000177742	459	369	581	563	642	496
ENST00000178638	16	18	17	20	26	9
ENST00000178640	25	20	38	34	43	31
ENST00000179259	418	316	462	431	563	357
ENST00000180166			1			
ENST00000180173	8	2	5	2	7	8
ENST00000181796	105	64	80	139	159	104
ENST00000181839	148	136	168	116	166	106
ENST00000182377	57	51	59	61	78	45
ENST00000182527	58	26	52	43	53	31
ENST00000184183	1			1		
ENST00000184266	266	216	357	301	292	240
ENST00000184956	256	175	252	299	398	236
ENST00000185150	142	121	181	203	248	151
ENST00000185206	1	1		1	1	1
ENST00000186436	82	78	148	146	140	106
ENST00000187762	1	1	5	4	1	2
ENST00000187830	2	3	5	3	2	3
ENST00000187879	25	12	44	36	51	40
ENST00000188312	540	365	600	478	604	429
ENST00000188376	5186	3882	5257	3967	4560	2976
ENST00000189444	107	95	134	138	178	119
ENST00000190165		1			1	
ENST00000190611	101	73	110	100	131	79
ENST00000191018	50	47	67	71	97	61
ENST00000191063	14	17	19	19	16	17
ENST00000192788	137	92	143	230	276	199
ENST00000193322	32	17	37	28	29	27
ENST00000193391				1		
ENST00000193403	482	416	588	518	702	519
ENST00000194097	5	9	5	5	7	8
ENST00000194118	62	52	72	69	115	63
ENST00000194152			3		2	
ENST00000194155	1		9	4	4	5
ENST00000194214	113	86	126	183	195	139
ENST00000194530	27	32	53	47	53	60
ENST00000194672		1			1	2
ENST00000194900	60	45	63	92	84	66
ENST00000195173						1
ENST00000195649	12	3	15	18	10	10
ENST00000196061	316	272	393	329	385	345
ENST00000196169	54	51	77	45	87	76
ENST00000196371	614	390	654	641	743	497
ENST00000196482	66	33	61	65	81	55
ENST00000196489	26	22	31	53	71	36
ENST00000196551	4038	2916	4620	2563	3077	2258
ENST00000197268	253	208	312	324	342	237
ENST00000198536						1
ENST00000198767	304	276	432	332	419	335
ENST00000198939	225	199	278	296	377	269
ENST00000199320	247	218	303	246	276	189
ENST00000199389	860	692	967	1127	1480	965
ENST00000199448	4	2	12	11	12	9
ENST00000199706	391	374	495	558	656	456
ENST00000199708			2		3	2
ENST00000199814	413	297	480	463	671	400
ENST00000199940	1	1	2		3	3
ENST00000200135	274	220	338	263	380	258
ENST00000200181	4	2	3	5	3	
ENST00000200453	95	74	101	277	375	233
ENST00000200457	187	146	191	196	245	219
ENST00000200557	14	20	18	30	19	23
ENST00000200639	312	223	350	542	671	547
ENST00000200652	2	1	1	2	4	3
ENST00000200691				1	2	
ENST00000201015	6	3	4	12	15	8
ENST00000201031	7	9	12	12	14	15
ENST00000201586				1	1	
ENST00000201647	7	7	9	5	15	7
ENST00000201943	29	22	28	22	41	21
ENST00000201963	216	152	256	241	320	209
ENST00000202017	161	111	190	212	294	242
ENST00000202028	31	21	24	34	56	29
ENST00000202556	73	44	76	100	129	76
ENST00000202677	97	77	100	102	141	93
ENST00000202773	23950	17565	25000	13818	16509	12275
ENST00000202816	1637	1155	1829	1314	1733	1142
ENST00000202831	4	5	10	11	7	9
ENST00000202834	2	2	2	8	3	4
ENST00000202967	10	5	6	2	1	4
ENST00000203001	740	596	894	753	969	592
ENST00000203166	92	75	115	147	184	108
ENST00000203407	1494	1282	1822	1800	2262	1667
ENST00000203556	21	19	29	22	32	18
ENST00000203630	485	399	618	615	773	509
ENST00000203664	30	17	33	33	37	30
ENST00000204005	82	61	89	86	105	94
ENST00000204517	190	143	231	271	346	269
ENST00000204549	254	174	244	236	335	223
ENST00000204566	83	69	108	79	93	71
ENST00000204604	5	2	3		4	2
ENST00000204637	1		2	4	8	1
ENST00000204679	84	59	78	104	117	81
ENST00000204726	356	326	418	334	481	321
ENST00000204961	49	39	68	52	74	57
ENST00000205061	1050	737	1175	1199	1526	1021
ENST00000205143	10	8	7	10	11	6
ENST00000205194	94	75	98	136	154	104
ENST00000205214	51	45	61	99	93	66
ENST00000205402	2964	2268	3272	3072	3890	2303
ENST00000205557	2	1	1	1	3	4
ENST00000205636	42	28	58	51	67	41
ENST00000206020	401	290	445	588	689	447
ENST00000206262	9	17	13	23	18	17
ENST00000206380	40	23	38	47	62	43
ENST00000206423	27	16	19	44	61	28
ENST00000206451	1624	1050	1415	1860	2330	1664
ENST00000206474	127	105	162	139	163	110
ENST00000206542	379	281	449	467	648	396
ENST00000206595	318	223	388	274	328	242
ENST00000206765		1	1		1	2
ENST00000207157	1		2	2		1
ENST00000207457	5	2	4	6	5	2
ENST00000207549						1
ENST00000207636	122	81	127	160	148	166
ENST00000207870	66	37	83	92	105	74
ENST00000209728	613	445	678	524	774	479
ENST00000209873	568	445	631	489	559	383
ENST00000209875	2193	1541	2185	3079	3855	2234
ENST00000209884	111	76	128	121	136	116
ENST00000210060	208	126	181	243	271	160
ENST00000210187	4		5	5	10	3
ENST00000210444	400	304	474	509	649	498
ENST00000210633	4	5	1	4	10	10
ENST00000211122		1			1	
ENST00000211287	4	3	6	7	7	11
ENST00000211314	170	173	174	223	309	222
ENST00000211379	1325	967	1511	1633	2172	1484
ENST00000211936	41	29	49	53	68	47
ENST00000211998	2095	1500	2129	2204	2720	1774
ENST00000212015	411	289	388	423	505	320
ENST00000212355	112	72	93	85	156	92
ENST00000214869	170	147	221	232	223	185
ENST00000215057	13	10	19	15	24	15
ENST00000215061	3	3	5	12	11	4
ENST00000215071	535	449	738	697	919	692
ENST00000215095	1	1	4	3	1	6
ENST00000215115	363	288	405	383	409	363
ENST00000215368					1	
ENST00000215375	142	116	168	148	205	147
ENST00000215473						1
ENST00000215530					1	
ENST00000215531	9	1	5	15	9	6
ENST00000215555	4	6	4	2	2	4
ENST00000215565	1004	808	1134	1105	1210	1021
ENST00000215567	369	291	380	631	822	448
ENST00000215570	639	441	769	730	848	671
ENST00000215574	364	297	407	402	574	366
ENST00000215582					1	
ENST00000215587	517	419	586	581	676	588
ENST00000215631	67	53	73	88	122	76
ENST00000215659	14	26	28	48	54	38
ENST00000215730	135	113	185	179	190	140
ENST00000215742	18	19	29	26	35	25
ENST00000215743	3	3		5	8	
ENST00000215754	393	370	612	648	706	652
ENST00000215770	10	12	26	33	26	21
ENST00000215790	24	34	32	39	43	27
ENST00000215793	3185	2351	3456	2581	3617	2240
ENST00000215794	111	62	88	139	160	123
ENST00000215829	2704	2284	3366	3097	3526	2543
ENST00000215832	82	75	76	94	98	82
ENST00000215838	1		1	1		1
ENST00000215862	420	299	415	400	581	357
ENST00000215882	186	159	224	270	285	179
ENST00000215885	1					
ENST00000215904	46	43	64	47	54	38
ENST00000215906	2	2	3	1	3	
ENST00000215909	4	2	5	5	6	3
ENST00000215912	5	1	1	8	18	14
ENST00000215917	140	93	142	145	199	123
ENST00000215919	78	62	81	106	145	84
ENST00000215941	111	89	122	114	112	90
ENST00000215956	48	39	63	84	69	53
ENST00000215957	141	124	163	168	210	144
ENST00000215980	40	35	68	68	94	63
ENST00000216014	20	9	17	35	39	23
ENST00000216024	74	44	77	103	116	94
ENST00000216027	26	17	24	40	37	28
ENST00000216029	85	73	93	126	185	107
ENST00000216034	1577	1435	1951	1806	2266	1684
ENST00000216036			2		2	
ENST00000216037	505	434	592	894	975	687
ENST00000216038	1891	1425	2216	2258	2832	1958
ENST00000216039	53	35	64	86	137	64
ENST00000216044	268	239	356	387	483	331
ENST00000216061	67	56	111	112	119	84
ENST00000216068	84	77	101	169	175	141
ENST00000216080	25	15	34	30	37	30
ENST00000216083	367	279	372	223	289	240
ENST00000216085	25	21	28	27	42	34
ENST00000216099	8	7	5	10	15	6
ENST00000216101					1	
ENST00000216106	367	271	422	532	755	530
ENST00000216115	1	2			3	
ENST00000216117	100	81	93	112	185	147
ENST00000216121	270	241	333	353	437	298
ENST00000216122	1313	994	1428	1378	1900	1185
ENST00000216124	4	3	4	4	3	4
ENST00000216127	1					
ENST00000216129	728	521	785	605	805	556
ENST00000216133	27	19	24	31	31	26
ENST00000216144	1	1				
ENST00000216146	23120	17210	25643	13235	16599	12275
ENST00000216155	45	50	53	86	53	56
ENST00000216160	102	103	161	143	191	124
ENST00000216180	45	26	40	35	46	47
ENST00000216181	5882	4670	7122	6088	7591	5241
ENST00000216185	594	411	634	560	623	439
ENST00000216187	62	58	71	97	114	77
ENST00000216190	5896	4480	6578	5692	7048	4754
ENST00000216194	1607	1240	1888	1670	1967	1459
ENST00000216200		3	2	3	5	3
ENST00000216214	43	30	55	71	100	58
ENST00000216218	7136	5422	8022	7180	8568	5895
ENST00000216223				1	1	
ENST00000216225	395	258	393	495	733	502
ENST00000216237	790	635	960	864	1070	802
ENST00000216252	975	804	1171	885	1056	786
ENST00000216254	265	210	284	395	466	304
ENST00000216259	86	96	116	120	153	110
ENST00000216264	209	157	215	196	212	144
ENST00000216267	297	197	294	319	365	277
ENST00000216268	55	37	77	77	76	49
ENST00000216271	2	3	4	6	5	12
ENST00000216277	692	574	828	777	890	630
ENST00000216281	41186	30030	47944	40168	51622	33659
ENST00000216286	100	86	122	105	152	69
ENST00000216288	165	137	203	182	235	169
ENST00000216294	87	65	114	119	153	110
ENST00000216297	8155	5869	8671	8397	11126	7179
ENST00000216327	8	5	7	14	21	16
ENST00000216330	416	366	536	615	689	502
ENST00000216341					1	
ENST00000216350	600	394	673	674	834	580
ENST00000216361	144	111	185	158	219	105
ENST00000216366	10	10	12	16	20	7
ENST00000216367	84	57	115	92	91	77
ENST00000216373	30	17	32	47	60	32
ENST00000216378	3	2	7	6	11	6
ENST00000216392	2150	1577	2538	2705	3198	2266
ENST00000216410	1106	955	1207	1102	1175	824
ENST00000216416	444	328	463	434	468	360
ENST00000216420	44	23	46	43	43	27
ENST00000216442	437	373	471	509	627	397
ENST00000216452	222	163	215	219	259	222
ENST00000216455	1295	922	1368	1287	1650	1354
ENST00000216456				3	1	1
ENST00000216465	87	49	78	74	91	66
ENST00000216468	289	215	307	223	294	202
ENST00000216471	20	9	27	43	44	31
ENST00000216479	3944	2959	4202	4135	4779	3746
ENST00000216484	362	297	446	481	639	415
ENST00000216487	31	23	32	34	35	29
ENST00000216489	17	9	17	14	13	13
ENST00000216492	43	34	56	63	85	38
ENST00000216500	919	688	933	1111	1442	971
ENST00000216513	53	43	44	60	87	47
ENST00000216517	65	54	70	97	131	80
ENST00000216554	2242	1434	2181	1118	1604	975
ENST00000216568		1			1	
ENST00000216602	85	78	108	90	114	88
ENST00000216639	752	505	823	888	1357	755
ENST00000216714	1320	1122	1650	1142	1600	1017
ENST00000216727	1514	1282	1741	1859	2271	1554
ENST00000216756	122	107	193	133	163	161
ENST00000216774	782	525	817	785	968	615
ENST00000216780	244	171	204	555	623	396
ENST00000216797	106	78	102	166	228	153
ENST00000216799	70	52	78	95	117	60
ENST00000216802	490	327	448	623	709	501
ENST00000216807	180	168	202	271	308	212
ENST00000216832	4133	3301	4639	3543	4738	3133
ENST00000216840	95	77	111	142	162	105
ENST00000216877	181	145	213	173	226	162
ENST00000216879	752	587	881	615	835	590
ENST00000216923	27	24	35	27	24	17
ENST00000216927					1	
ENST00000216962	276	254	386	372	457	311
ENST00000216968	10	9	10	8	18	13
ENST00000217026	569	441	630	710	738	628
ENST00000217073	11	16	8	13	12	10
ENST00000217086				1	1	1
ENST00000217109	52	40	61	60	54	35
ENST00000217121	494	439	550	703	803	560
ENST00000217131	15	19	17	34	29	24
ENST00000217133	8	8	7	15	18	14
ENST00000217159	5	11	6	6	6	5
ENST00000217162	27	24	37	35	24	27
ENST00000217173	27	9	23	25	31	14
ENST00000217182	576	414	667	695	838	583
ENST00000217195	224	175	256	275	284	244
ENST00000217233	71	58	86	171	259	150
ENST00000217244	1031	761	1136	1183	1380	921
ENST00000217246	34	20	24	36	43	30
ENST00000217289	6	4	4	14	10	7
ENST00000217315	286	200	341	316	442	288
ENST00000217381	29	18	34	34	30	32
ENST00000217398						1
ENST00000217402	1289	1053	1541	1835	2148	1607
ENST00000217426	1098	856	1297	896	1143	922
ENST00000217446	78	57	95	65	92	66
ENST00000217455	12	9	10	18	17	11
ENST00000217456	128	102	183	151	228	157
ENST00000217515	284	244	317	305	330	229
ENST00000217652	868	653	1048	1273	1477	925
ENST00000217740	31	16	26	44	52	33
ENST00000217893	37	34	33	48	51	53
ENST00000217901	162	122	184	183	227	169
ENST00000217909		2	4	6	7	1
ENST00000217957		1				
ENST00000217958	2421	1797	2648	2525	3120	2203
ENST00000217961	1		3	5	2	2
ENST00000217971	1341	1144	1758	1794	2141	1487
ENST00000218004	11	16	18	30	41	24
ENST00000218008				2	1	1
ENST00000218056	27	25	33	39	43	31
ENST00000218068	6	4	1	5	5	8
ENST00000218089	2409	1725	2639	2979	3572	2505
ENST00000218104	19	10	28	31	34	23
ENST00000218147	232	170	250	179	229	147
ENST00000218197	34	26	49	34	58	31
ENST00000218200	1955	1476	2273	1771	2107	1498
ENST00000218224	433	427	547	485	672	488
ENST00000218230	54	62	70	96	109	66
ENST00000218249		1				
ENST00000218316	14	11	14	27	34	19
ENST00000218340	175	132	164	199	272	161
ENST00000218348	965	784	1178	1352	1891	1178
ENST00000218364	3542	2680	4047	4126	5115	3545
ENST00000218388	11	13	19	16	17	14
ENST00000218432	560	476	658	692	820	637
ENST00000218436	1			1	1	1
ENST00000218439	797	589	814	864	1172	655
ENST00000218516	1368	1057	1700	1592	1765	1386
ENST00000218548	2		2	3	5	2
ENST00000218652	198	173	235	181	229	174
ENST00000218721		1		3	2	2
ENST00000218789	80	95	122	148	153	99
ENST00000218981	3	3	5	8	7	6
ENST00000219066	293	219	301	293	354	236
ENST00000219069	96	65	89	100	130	83
ENST00000219070	7	4	8	7	9	9
ENST00000219091	26	25	41	38	48	45
ENST00000219097	663	430	620	520	606	474
ENST00000219139	21	15	26	22	15	17
ENST00000219150	13	17	5	7	10	13
ENST00000219168	3	2	4	2	7	3
ENST00000219169	140	102	133	151	224	131
ENST00000219197			3	1	2	
ENST00000219204	285	224	358	329	367	250
ENST00000219207	3	1	6	4	8	3
ENST00000219240	199	166	214	195	221	172
ENST00000219251	48	32	53	51	59	37
ENST00000219252	131	102	178	197	234	143
ENST00000219255	1	1	2	1		3
ENST00000219271	9	5	16	11	23	11
ENST00000219281	46	43	53	52	81	44
ENST00000219299	68	65	62	88	123	67
ENST00000219302	133	106	153	150	178	140
ENST00000219313	2551	1872	2827	2687	3630	2322
ENST00000219315	136	117	163	171	239	144
ENST00000219320	24	18	39	35	36	23
ENST00000219322		1	2	1		3
ENST00000219334			1	1		1
ENST00000219343	11	8	35	29	37	25
ENST00000219345	8	3	7	7	11	5
ENST00000219368	6	3	6	5	9	11
ENST00000219400	195	144	260	279	313	233
ENST00000219406						1
ENST00000219409	40	28	37	33	44	44
ENST00000219431	18	14	44	37	60	28
ENST00000219439	184	96	181	218	267	186
ENST00000219473	810	539	811	447	611	413
ENST00000219476	355	248	458	400	501	368
ENST00000219478	44	33	52	53	66	48
ENST00000219479	152	107	181	152	149	152
ENST00000219481	12	9	33	17	20	10
ENST00000219535	19	10	15	14	10	16
ENST00000219548	815	668	897	1009	1323	847
ENST00000219551				1	1	
ENST00000219596			1	1		1
ENST00000219599	20	21	10	13	30	19
ENST00000219611	51	47	49	32	57	45
ENST00000219689	19	15	31	12	27	22
ENST00000219700	327	238	393	273	349	266
ENST00000219782	401	283	449	523	679	579
ENST00000219789	3	6	9	14	11	9
ENST00000219794	67	50	74	92	84	71
ENST00000219797	119	93	133	143	180	135
ENST00000219821	8	6	2	4	3	4
ENST00000219837	712	525	881	924	1213	742
ENST00000219905	671	454	670	574	706	482
ENST00000220003	102	106	161	134	207	129
ENST00000220058	148	119	157	120	158	103
ENST00000220166	67	43	68	49	74	49
ENST00000220244	6	3	6	9	6	6
ENST00000220325	129	97	194	132	187	105
ENST00000220429	33	30	51	29	67	32
ENST00000220478	12	7	17	15	16	10
ENST00000220496	165	144	200	207	241	184
ENST00000220507	2	3	5	1	2	1
ENST00000220509	177	131	204	111	161	102
ENST00000220514	70	51	82	84	96	55
ENST00000220531	129	98	129	181	293	195
ENST00000220562	33	29	42	30	45	25
ENST00000220584	1788	1275	1943	1611	2165	1384
ENST00000220592	188	147	232	140	193	131
ENST00000220597	40	43	66	54	78	58
ENST00000220659	63	48	50	54	71	47
ENST00000220669	97	65	126	119	118	111
ENST00000220751	12	3	12	9	16	9
ENST00000220763	6	3	7	13	11	5
ENST00000220764	81	46	96	105	118	80
ENST00000220772	3	1	1	2	4	3
ENST00000220809	71	66	77	144	174	112
ENST00000220822	92	78	113	116	142	89
ENST00000220847	334	257	330	318	374	251
ENST00000220849	1683	1095	1765	1271	1352	999
ENST00000220853	248	192	288	374	443	290
ENST00000220876			2	2	3	1
ENST00000220888	80	48	74	76	97	81
ENST00000220913	543	462	640	648	842	576
ENST00000220931	4	4	2	1	8	4
ENST00000220959	846	695	970	739	1061	676
ENST00000220966	30	30	31	26	29	30
ENST00000221086	40	38	63	52	54	40
ENST00000221114	86	51	90	139	137	96
ENST00000221130	703	477	721	744	908	628
ENST00000221132	1	1		2	3	3
ENST00000221138	186	101	239	188	256	166
ENST00000221166	4490	3230	4787	3532	4350	3161
ENST00000221200	233	165	239	232	325	189
ENST00000221222	3	5	8	5	4	2
ENST00000221232	301	261	356	409	471	319
ENST00000221233	321	272	378	399	464	360
ENST00000221249	42	32	53	48	56	47
ENST00000221264	37	7	27	31	25	21
ENST00000221265	1214	983	1499	1118	1594	1076
ENST00000221283	407	297	359	481	501	416
ENST00000221315	18	14	18	24	26	29
ENST00000221327	51	35	52	79	103	60
ENST00000221355	56	40	87	82	103	65
ENST00000221363	131	107	154	86	102	83
ENST00000221399			1	3	1	1
ENST00000221403	3	1	3	4	5	3
ENST00000221413	1057	786	1107	1241	1651	1163
ENST00000221418	315	244	418	482	592	371
ENST00000221419	4170	3872	5175	4334	5574	3945
ENST00000221431	121	107	162	211	223	159
ENST00000221448	3312	2675	4033	4286	5750	4212
ENST00000221452	12	6	15	20	16	17
ENST00000221455	271	230	301	437	526	325
ENST00000221459	9	9	7	10	17	11
ENST00000221462	17	22	33	33	33	34
ENST00000221466	29	25	37	50	56	37
ENST00000221476	4	1	1	1	4	1
ENST00000221480	10	4	6	16	14	11
ENST00000221485	9	8	4	10	7	9
ENST00000221486	1107	742	1158	1195	1555	1019
ENST00000221494	455	333	480	613	709	447
ENST00000221496	2			2		1
ENST00000221498					1	
ENST00000221504	328	240	370	356	451	316
ENST00000221543	31	23	37	45	68	49
ENST00000221554	54	39	54	60	75	66
ENST00000221561	110	112	170	191	237	161
ENST00000221566	149	128	216	147	173	136
ENST00000221573	7	6	14	12	8	9
ENST00000221665	2	3	2	1	2	1
ENST00000221671	49	27	42	34	63	32
ENST00000221735	26	16	29	60	78	34
ENST00000221770	3	5	10	5	9	4
ENST00000221784	425	370	457	557	696	538
ENST00000221801	6360	5129	7825	6459	7733	5909
ENST00000221855	457	364	495	607	651	483
ENST00000221856	80	60	81	104	132	102
ENST00000221859	210	148	254	282	334	325
ENST00000221891	71	60	75	88	96	63
ENST00000221899	163	151	233	173	177	125
ENST00000221922	359	284	375	483	662	424
ENST00000221930	30	24	37	35	30	35
ENST00000221943	83	59	86	102	125	87
ENST00000221957	140	114	140	130	177	95
ENST00000221972					1	1
ENST00000221975	2838	2255	3393	1259	1404	1197
ENST00000221980	3	3	4	1	3	2
ENST00000221996	1					
ENST00000222002	3	3	7	2	2	7
ENST00000222005	3075	2572	3504	3722	4607	3078
ENST00000222008	166	193	255	261	330	240
ENST00000222032	10	6	10	28	17	9
ENST00000222120	25	21	34	46	27	22
ENST00000222122	9	8	9	20	14	9
ENST00000222139	4	5	4	4	14	7
